job_title,Company,posted_by,query_date,location,Description,positions,url
IOS developer,RZ Placement Services,Times job,21/06/2022,Ahmedabad,"HIRING FOR IOS DEVELOPERRequired Skills:Proficient with Objective-C / Swift.Good Understanding aboutiOS SDK, Backward Compatibility and Xcode.Ability to work on complex UI/ UX... More Details",1,https://www.timesjobs.com/candidate/job-search.html?searchType=Industry&from=submit&clubJob=n&cboIndustry=28&gadLink=IT-Software
Graphic Designers for Canada / USA,Navyah Immigration Services Private Limited,Times job,21/06/2022,"Dubai,  Australia,  Canada,  Singapore,  null","Develop the graphic elements that meet the clients' objectivesPrepare sketches, layouts and graphic elements of the subjects to be rendered using traditional tools, multimedia... More Details",1,https://www.timesjobs.com/candidate/job-search.html?searchType=Industry&from=submit&clubJob=n&cboIndustry=28&gadLink=IT-Software
Web Designers and Developers for Canada / USA,Navyah Immigration Services Private Limited,Times job,21/06/2022,"Dubai,  Australia,  Canada,  Singapore,  null","Consult with clients to develop and document Website requirements.Source, select and organize information for inclusion and design the appearance, layout and flow of the Websi... More Details",1,https://www.timesjobs.com/candidate/job-search.html?searchType=Industry&from=submit&clubJob=n&cboIndustry=28&gadLink=IT-Software
Senior SAP Associates for Canada / USA,Navyah Immigration Services Private Limited,Times job,21/06/2022,"Dubai,  Australia,  Canada,  Singapore,  null","There are excellent opportunities for Sr. SAP Associates in Canada. Any SAP module (FI, CO, SD, PP, MM, QM, SCM, HCM) expert required. Should have experience in SAP implementa... More Details",1,https://www.timesjobs.com/candidate/job-search.html?searchType=Industry&from=submit&clubJob=n&cboIndustry=28&gadLink=IT-Software
Web Designer,Job centre,Times job,21/06/2022,"Delhi,  Delhi/NCR,  Gurgaon,  Faridabad",We are looking for a Web Designer to create engaging and on-brand graphics for a variety of media.ResponsibilitiesStudy design briefs and determine requirementsSchedule projec... More Details,1,https://www.timesjobs.com/candidate/job-search.html?searchType=Industry&from=submit&clubJob=n&cboIndustry=28&gadLink=IT-Software
Data Entry/computer Operator,Minanshika Softech Solution Pvt. Ltd.,Times job,21/06/2022,"Ahmedabad,  Gurgaon,  Kolkata,  Noida/Greater Noida,  Pune", ) Medical Transcription Data Entry OperatorThis project is based on medical content which is given in form of image files in specified app of Company. User has to install th... More Details,1,https://www.timesjobs.com/candidate/job-search.html?searchType=Industry&from=submit&clubJob=n&cboIndustry=28&gadLink=IT-Software
Senior Software Testers for USA / Canada,Navyah Immigration Services Private Limited,Times job,21/06/2022,"Dubai,  Australia,  Canada,  Japan,  null","Researching, consulting, analyzing and evaluating system program needs.Develop and document software testing plans.Install software and hardware and configure operating system... More Details",1,https://www.timesjobs.com/candidate/job-search.html?searchType=Industry&from=submit&clubJob=n&cboIndustry=28&gadLink=IT-Software
Software and Applications Programmers for USA / Canada,Navyah Immigration Services Private Limited,Times job,21/06/2022,"Dubai,  Australia,  Canada,  Japan,  null","Researching and analyzing and evaluating system program needsIdentifying technology limitations and deficiencies in existing systems and associated processes, procedures and m... More Details",1,https://www.timesjobs.com/candidate/job-search.html?searchType=Industry&from=submit&clubJob=n&cboIndustry=28&gadLink=IT-Software
Database analysts and  administrators for Canada / USA,Navyah Immigration Services Private Limited,Times job,21/06/2022,"Dubai,  Australia,  Canada,  Singapore,  null","Document data requirements and data collection.Provide advice to other information systems professionals regarding the collection, availability, security and suitability of da... More Details",1,https://www.timesjobs.com/candidate/job-search.html?searchType=Industry&from=submit&clubJob=n&cboIndustry=28&gadLink=IT-Software
Java developer,RZ Placement Services,Times job,21/06/2022,Ahmedabad,"HIRING FOR JAVA DEVELOPERRequired Skills: Java, JEE, Spring, Hibernate, JPA, MEAN Stack Frameworks, MySQL, MongoDB, NoSQL Databases,Big Data Or Hadoop knowledge is a plus.Job... More Details",1,https://www.timesjobs.com/candidate/job-search.html?searchType=Industry&from=submit&clubJob=n&cboIndustry=28&gadLink=IT-Software
Vice President - Technology - Cloud & ML/AI Domain,HR Jobs Placements,Times job,21/06/2022,"Bengaluru / Bangalore,  Chennai,  Delhi/NCR,  Kolkata,  Mumbai",JDWe are hiring for VP - Technology role for one of our global IT Services client. This role is for diversity hiring (Only female candidates) and job location is Mumbai/Bangal... More Details,1,https://www.timesjobs.com/candidate/job-search.html?searchType=Industry&from=submit&clubJob=n&cboIndustry=28&gadLink=IT-Software
